# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.04%     +0.01%  [kernel.kallsyms]         [k] ext4_mb_prefetch
     0.04%     +0.01%  [kernel.kallsyms]         [k] ext4_setattr
     0.02%     +0.01%  [kernel.kallsyms]         [k] ext4_file_write_iter
     0.00%     +0.01%  [kernel.kallsyms]         [k] mmc_request_done
     0.01%     +0.01%  [kernel.kallsyms]         [k] file_free_rcu
     0.01%     +0.01%  [kernel.kallsyms]         [k] file_modified_flags
     0.05%     +0.01%  [kernel.kallsyms]         [k] ext4_mb_new_blocks
     0.01%     +0.01%  [kernel.kallsyms]         [k] free_unref_page_list
     0.00%     +0.01%  [kernel.kallsyms]         [k] dbs_update
     0.00%     +0.01%  [kernel.kallsyms]         [k] __destroy_inode
     0.02%     +0.01%  [kernel.kallsyms]         [k] create_page_buffers
     0.04%     -0.01%  [kernel.kallsyms]         [k] copy_page_from_iter
     0.03%     +0.01%  [kernel.kallsyms]         [k] ext4_find_extent
     0.06%     -0.01%  [kernel.kallsyms]         [k] kfree
     0.03%     -0.01%  [kernel.kallsyms]         [k] ext4_create
     0.10%     -0.01%  [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited_flags
     0.10%     -0.01%  [kernel.kallsyms]         [k] pipe_write
     0.01%     +0.01%  [kernel.kallsyms]         [k] d_alloc
     0.04%     -0.01%  [kernel.kallsyms]         [k] ext4_has_free_clusters
     0.04%     +0.01%  [kernel.kallsyms]         [k] __block_commit_write.constprop.0
     0.01%     +0.01%  [kernel.kallsyms]         [k] unmap_page_range
     0.04%     +0.01%  [kernel.kallsyms]         [k] schedule
     0.02%     +0.01%  [kernel.kallsyms]         [k] inode_needs_update_time.part.0
     0.11%     +0.01%  [kernel.kallsyms]         [k] xas_load
     0.01%     +0.01%  [kernel.kallsyms]         [k] ext4_release_io_end
     0.04%     -0.01%  [kernel.kallsyms]         [k] xa_get_order
     0.02%     -0.01%  [kernel.kallsyms]         [k] __se_sys_utimensat_time32
     0.05%     -0.01%  [kernel.kallsyms]         [k] _find_next_bit_le
     0.02%     +0.01%  [kernel.kallsyms]         [k] __zone_watermark_ok
     0.01%     +0.01%  [kernel.kallsyms]         [k] __blk_mq_end_request
     0.05%     -0.01%  [kernel.kallsyms]         [k] zero_user_segments
     0.04%     -0.01%  [kernel.kallsyms]         [k] mark_page_accessed
     0.03%     -0.01%  [kernel.kallsyms]         [k] bio_alloc_bioset
     0.00%     +0.01%  [kernel.kallsyms]         [k] shmem_add_to_page_cache.constprop.0
     0.00%     +0.01%  [kernel.kallsyms]         [k] __hrtimer_init
     0.01%     +0.01%  [kernel.kallsyms]         [k] __blk_mq_sched_dispatch_requests
     0.01%     +0.01%  [kernel.kallsyms]         [k] __dd_dispatch_request
